Algoritmo,Lista,Trocas,Comparacoes,Tempo
bubble sort,lista_melhor_1k,0,1000,0.000061988830566406
heap sort,lista_melhor_1k,9708,30624,0.0033655166625976562
insertion sort,lista_melhor_1k,999,999,0.0002446174621582031
merge sort,lista_melhor_1k,10000,5052,0.002006053924560547
selection sort,lista_melhor_1k,1000,499500,0.021319866180419922
shell sort,lista_melhor_1k,8006,8006,0.0007295608520507812
bubble sort,lista_melhor_10k,0,10000,0.0005667209625244141
heap sort,lista_melhor_10k,131956,410868,0.04659152030944824
insertion sort,lista_melhor_10k,9999,9999,0.002456188201904297
merge sort,lista_melhor_10k,140000,71712,0.026493072509765625
selection sort,lista_melhor_10k,10000,49995000,2.178528308868408
shell sort,lista_melhor_10k,120005,120005,0.011662006378173828
bubble sort,lista_melhor_100k,0,100000,0.005585670471191406
heap sort,lista_melhor_100k,1650854,5102562,0.5913681983947754
insertion sort,lista_melhor_100k,99999,99999,0.024938344955444336
merge sort,lista_melhor_100k,1700000,877968,0.3235347270965576
selection sort,lista_melhor_100k,100000,4999950000,234.8750560283661
shell sort,lista_melhor_100k,1500006,1500006,0.14763855934143066
bubble sort,lista_medio_1k,244557,498222,0.04182243347167969
heap sort,lista_medio_1k,9072,28716,0.003207683563232422
insertion sort,lista_medio_1k,245556,245553,0.03224968910217285
merge sort,lista_medio_1k,10000,8674,0.0025267601013183594
selection sort,lista_medio_1k,1000,499500,0.021854400634765625
shell sort,lista_medio_1k,15451,15451,0.0015704631805419922
bubble sort,lista_medio_10k,24943534,50003109,4.535914421081543
heap sort,lista_medio_10k,124242,387726,0.0445554256439209
insertion sort,lista_medio_10k,24953533,24953521,3.3962981700897217
merge sort,lista_medio_10k,140000,123668,0.03373003005981445
selection sort,lista_medio_10k,10000,49995000,2.2029545307159424
shell sort,lista_medio_10k,270820,270820,0.028069019317626953
bubble sort,lista_medio_100k,2503102504,5000018122,507.60545349121094
heap sort,lista_medio_100k,1574702,4874106,0.5773375034332275
insertion sort,lista_medio_100k,2503202503,2503202486,379.86474895477295
merge sort,lista_medio_100k,1700000,1566551,0.4298248291015625
selection sort,lista_medio_100k,100000,4999950000,254.8544523715973
shell sort,lista_medio_100k,4261839,4261839,0.46160292625427246
bubble sort,lista_pior_1k,499500,500499,0.05441570281982422
heap sort,lista_pior_1k,8316,26448,0.0029146671295166016
insertion sort,lista_pior_1k,500499,499500,0.06369709968566895
merge sort,lista_pior_1k,10000,4932,0.0019943714141845703
selection sort,lista_pior_1k,1000,499500,0.022777318954467773
shell sort,lista_pior_1k,12706,12706,0.0012068748474121094
bubble sort,lista_pior_10k,49995000,50004999,6.020447492599487
heap sort,lista_pior_10k,116696,365088,0.04155111312866211
insertion sort,lista_pior_10k,50004999,49995000,6.753474712371826
merge sort,lista_pior_10k,140000,64608,0.02595353126525879
selection sort,lista_pior_10k,10000,49995000,2.2513234615325928
shell sort,lista_pior_10k,182565,182565,0.017822265625
bubble sort,lista_pior_100k,4999950000,5000049999,663.3198857307434
heap sort,lista_pior_100k,1497434,4642302,0.5316848754882812
insertion sort,lista_pior_100k,5000049999,4999950000,766.713353395462
merge sort,lista_pior_100k,1700000,815024,0.32348108291625977
selection sort,lista_pior_100k,100000,4999950000,244.68697261810303
shell sort,lista_pior_100k,2344566,2344566,0.23425555229187012
